name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,roll3_total_points,roll3_minutes,roll3_goals_scored,roll3_assists,roll3_clean_sheets,roll3_bps,avg_points_last3,avg_minutes_last3,goals_last3,std_points_last3,avg_points_last5,avg_minutes_last5,goals_last5,std_points_last5,ema_points
Setford,GKP,ARS,4,1,1,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,14,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,15,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,16,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,18,71,19,0,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,19,71,76,1,0,1,0,0,40,3,0,0,0,0,15,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,0.3333333333333333,6.333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,6.333333333333333,0.0,0.5773502691896258,0.2,3.8,0.0,0.4472135954999579,0.5
Gabriel,DEF,ARS,5,1,2,20,71,90,1,0,0,2,0,16,0,0,0,0,0,9,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,5.333333333333333,31.666666666666668,0.3333333333333333,0.0,0.3333333333333333,14.0,5.333333333333333,31.666666666666668,1.0,8.386497083606084,3.2,19.0,1.0,6.610597552415364,7.75
Saliba,DEF,ARS,6,1,2,13,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,61.666666666666664,2.0,7.023769168568494,5.0,37.0,2.0,6.745368781616021,8.375
Saliba,DEF,ARS,6,1,2,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliba,DEF,ARS,6,1,2,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliba,DEF,ARS,6,1,2,16,59,90,0,0,0,1,0,14,0,0,0,0,0,2,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliba,DEF,ARS,6,1,2,17,59,90,0,0,1,0,0,27,0,0,0,0,0,6,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,0.6666666666666666,30.0,0.0,0.0,0.0,4.666666666666667,0.6666666666666666,30.0,0.0,1.1547005383792517,0.0,0.0,0.0,0.0,1.0
Saliba,DEF,ARS,6,1,2,18,61,90,0,0,0,1,0,10,0,0,0,0,0,2,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,2.6666666666666665,60.0,0.0,0.0,0.3333333333333333,13.666666666666666,2.6666666666666665,60.0,0.0,3.055050463303893,1.6,36.0,0.0,2.6076809620810595,3.5
Saliba,DEF,ARS,6,1,2,19,61,90,0,0,0,1,0,10,0,0,0,0,0,2,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,3.3333333333333335,90.0,0.0,0.0,0.3333333333333333,17.0,3.3333333333333335,90.0,0.0,2.309401076758503,2.0,54.0,0.0,2.4494897427831783,2.75
Saliba,DEF,ARS,6,1,2,20,61,90,0,0,0,2,0,9,0,0,0,0,0,1,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,3.3333333333333335,90.0,0.0,0.0,0.3333333333333333,15.666666666666666,3.3333333333333335,90.0,0.0,2.309401076758503,2.4,72.0,0.0,2.1908902300206647,2.375
Calafiori,DEF,ARS,7,1,2,13,58,45,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,90.0,0.0,0.5773502691896251,2.6,90.0,0.0,1.949358868961793,1.6875
Calafiori,DEF,ARS,7,1,2,14,58,90,0,0,1,0,0,33,1,0,0,0,0,7,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calafiori,DEF,ARS,7,1,2,15,57,85,0,0,0,1,0,2,0,1,0,0,0,1,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,3.5,67.5,0.0,0.0,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
