name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Sancho,MID,AVL,456,2,3,15,58,15,0,0,0,0,0,9,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Casemiro,MID,MUN,457,14,3,15,55,77,0,0,0,1,0,10,0,0,0,0,0,2,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Mainoo,MID,MUN,458,14,3,15,46,12,0,0,0,0,0,4,0,0,0,0,0,1,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Ugarte,MID,MUN,459,14,3,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Collyer,MID,MUN,460,14,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Fitzgerald,MID,MUN,461,14,3,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
J.Fletcher,MID,MUN,462,14,3,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Kone,MID,MUN,463,14,3,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Moorhouse,MID,MUN,464,14,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Højlund,FWD,MUN,465,14,4,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Zirkzee,FWD,MUN,466,14,4,15,58,6,0,0,0,0,0,0,0,1,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Obi,FWD,MUN,467,14,4,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Wheatley,FWD,MUN,468,14,4,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Pope,GKP,NEW,469,15,1,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Dúbravka,GKP,BUR,470,3,1,15,40,90,0,0,0,2,6,13,0,0,0,0,0,3,,,148,2,1,2025-12-06T15:00:00Z,1055,1095,1010,1090,1100,1100
Gillespie,GKP,NEW,471,15,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Odysseas,GKP,NEW,472,15,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Hall,DEF,NEW,473,15,2,15,52,27,0,0,0,1,0,12,0,0,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Schär,DEF,NEW,474,15,2,15,53,90,0,0,0,1,0,9,0,0,0,0,0,2,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Botman,DEF,NEW,475,15,2,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Burn,DEF,NEW,476,15,2,15,51,62,0,0,1,0,0,28,1,0,0,0,0,7,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Livramento,DEF,NEW,477,15,2,15,49,90,0,0,0,1,0,17,0,1,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Trippier,DEF,NEW,478,15,2,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Krafth,DEF,NEW,479,15,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Lascelles,DEF,NEW,480,15,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
A.Murphy,DEF,NEW,481,15,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Ashby,DEF,NEW,482,15,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Pivas,DEF,NEW,483,15,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Targett,DEF,NEW,484,15,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Gordon,MID,NEW,485,15,3,15,74,73,1,0,1,0,0,32,2,0,0,0,0,10,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Elanga,MID,NEW,486,15,3,15,65,90,0,0,0,1,0,7,0,0,0,0,0,2,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Barnes,MID,NEW,487,15,3,15,61,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Bruno G.,MID,NEW,488,15,3,15,70,90,1,0,0,1,0,44,3,0,0,0,0,10,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
J.Murphy,MID,NEW,489,15,3,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Joelinton,MID,NEW,490,15,3,15,59,16,0,0,0,1,0,6,0,0,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Tonali,MID,NEW,491,15,3,15,53,1,0,0,0,0,0,3,0,0,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Antoñito C.,MID,NEW,492,15,3,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Longstaff,MID,LEE,493,11,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,146,3,3,2025-12-06T17:30:00Z,1095,1145,1080,1100,1110,1190
Willock,MID,NEW,494,15,3,15,50,62,0,0,1,0,0,14,0,0,0,0,0,3,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Hayden,MID,NEW,495,15,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Kuol,MID,NEW,496,15,3,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
L.Miley,MID,NEW,497,15,3,15,44,27,0,0,0,1,0,4,0,0,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
White,MID,NEW,498,15,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Isak,FWD,LIV,499,12,4,15,103,6,0,0,0,1,0,2,0,0,0,0,0,1,,,146,3,3,2025-12-06T17:30:00Z,1230,1265,1170,1210,1290,1320
Osula,FWD,NEW,500,15,4,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Neave,FWD,NEW,501,15,4,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Sels,GKP,NFO,502,16,1,15,46,90,0,0,0,3,3,3,0,0,0,0,0,2,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
C.Miguel,GKP,NFO,503,16,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Turner,GKP,NFO,504,16,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
