name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Zinchenko,DEF,NFO,12,16,2,19,49,90,0,0,0,2,0,7,0,0,0,0,0,1,,,188,0,2,2025-12-30T19:30:00Z,1080,1145,1100,1120,1060,1170
Clarke,DEF,ARS,13,1,2,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Kacurri,DEF,ARS,14,1,2,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Nichols,DEF,ARS,15,1,2,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Saka,MID,ARS,16,1,3,19,98,82,0,1,1,0,0,10,0,0,0,0,0,6,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Ødegaard,MID,ARS,17,1,3,19,78,90,0,1,0,1,0,29,0,0,0,0,0,5,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Madueke,MID,ARS,18,1,3,19,68,7,0,0,0,1,0,8,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Martinelli,MID,ARS,19,1,3,19,68,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Trossard,MID,ARS,20,1,3,19,68,90,1,1,0,1,0,40,3,0,0,0,0,13,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Rice,MID,ARS,21,1,3,19,76,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Merino,MID,ARS,22,1,3,19,54,72,0,0,1,0,0,6,0,1,0,0,0,2,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Fábio Vieira,MID,ARS,23,1,3,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Nørgaard,MID,ARS,24,1,3,19,51,17,0,0,0,1,0,4,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Nwaneri,MID,ARS,25,1,3,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Zubimendi,MID,ARS,26,1,3,19,53,90,1,0,0,1,0,37,1,0,0,0,0,8,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Nelson,MID,BRE,27,5,3,19,48,10,0,0,0,0,0,1,0,0,0,0,0,1,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Kabia,MID,ARS,28,1,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Sambi,MID,ARS,29,1,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Havertz,FWD,ARS,30,1,4,19,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
G.Jesus,FWD,ARS,31,1,4,19,64,13,1,0,0,1,0,25,0,1,0,0,0,4,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Martinez,GKP,AVL,32,2,1,19,50,90,0,0,0,4,3,-2,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
M.Bizot,GKP,AVL,33,2,1,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Gauci,GKP,AVL,34,2,1,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Marschall,GKP,AVL,35,2,1,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Cash,DEF,AVL,36,2,2,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Digne,DEF,AVL,37,2,2,19,45,90,0,0,0,4,0,-4,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Konsa,DEF,AVL,38,2,2,19,44,90,0,0,0,4,0,8,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Maatsen,DEF,AVL,39,2,2,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Mings,DEF,AVL,40,2,2,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Pau,DEF,AVL,41,2,2,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
A.García,DEF,AVL,42,2,2,19,39,29,0,0,0,2,0,-6,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
